gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
OGDHL,-3.184499562,0.001133324,-3.48815982,0.001555236,-1.008412994,0.150068785,-0.167775557,0.853532076,abundance
GSTK1,-0.201486849,0.620776421,-0.103512145,0.764686776,-0.092653153,0.725766988,0.071297266,0.749486199,background
HNRNPAB,0.320314716,0.368806186,-0.125195649,0.719689872,0.386608891,0.235395539,-0.321687949,0.281175346,translation
SPN,-0.164484606,0.882923824,-2.112729172,0.007386692,1.8193903,0.082640006,-2.026818251,0.003770925,background
SLC2A10,-0.868145303,0.0718276,-1.028169993,0.020856424,-0.158049425,0.760659043,-0.467110022,0.189697629,abundance
RPF2,0.331254985,0.362886563,0.388246095,0.503696075,0.2763794,0.461523248,0.176725751,0.783520058,background
MIB2,0.454922641,0.418395727,-1.10258572,0.023733157,1.136260941,0.073001208,-1.322418274,0.00829047,translation
MYO5A,0.354100817,0.533176309,-0.046260232,0.92453079,0.387307359,0.423745444,-0.245627849,0.515793308,background
ATG7,0.084699962,0.82885875,0.12090722,0.633898263,0.041926233,0.926936374,0.111253999,0.649540354,background
SIPA1L1,-0.618139725,0.152671521,-0.468313321,0.086541253,-0.407442565,0.416815556,-0.38730689,0.159997292,abundance
PIGN,0.19310209,0.586599167,0.966928858,0.019858702,-0.337816983,0.261143782,0.753243835,0.018946289,background
TOPORS,-0.482110619,0.118825356,0.057856957,0.867920842,-0.504551118,0.092893465,0.38944916,0.210654651,translation
ENTPD6,0.928916264,0.025086061,0.118468649,0.747757985,0.858413559,0.031747286,-0.485116054,0.160393161,translation
ENPP1,-0.221274726,0.522600492,-0.549513039,0.198869383,0.045382213,0.888794335,-0.231418816,0.425121541,background
FAR1,-0.753885293,0.084776781,0.268890014,0.574327407,-0.883941397,0.041128281,0.884059222,0.04731732,translation
C5orf42,0.099061822,0.910069565,0.083695641,0.877983824,0.017273079,0.983032689,0.035589062,0.939964743,background
ZNF841,0.135477346,0.714484264,0.621663349,0.225459069,0.091780812,0.832115625,0.581161308,0.263675985,background
CDC42SE1,0.168097363,0.75544355,0.193862366,0.521662092,0.054122534,0.93423321,0.164855668,0.571646421,background
MPEG1,-1.198818441,0.002029325,-1.08574691,0.003562711,-0.849891155,0.058643932,-0.458287409,0.283586179,abundance
DPP4,0.291369221,0.644116866,1.105068442,0.044013697,-0.77435642,0.037619088,0.839091835,0.008477374,background
SPTAN1,-0.035473368,0.945438957,0.291156465,0.338890392,-0.448391436,0.095101581,0.313597655,0.129356476,background
PARVA,-0.570512017,0.149016566,-0.773643434,0.038161244,-0.003357582,0.99394776,-0.343001656,0.242633757,abundance
FAM114A1,-0.877421464,0.045240284,-0.096091473,0.803908824,-0.79526324,0.030575847,0.580820354,0.068219464,translation
ZNF460,-0.129440099,0.752300181,-0.142765133,0.6196089,-0.053955359,0.906571166,-0.108670184,0.698307977,background
PHF2,-0.370983192,0.512892823,-0.322548495,0.362616184,-0.040384658,0.949267297,-0.163562836,0.59401354,background
PSAP,0.100336289,0.754634741,0.00689872,0.980354562,0.097222213,0.755592171,-0.047595831,0.86812532,background
S100A10,1.717029052,0.006252621,1.655772684,0.000274612,-1.373521347,0.011003789,0.815783666,0.004056488,abundance
RPL37A,0.896990797,0.013372977,1.221642986,0.018759929,0.733957892,0.05740757,0.668841739,0.277390909,abundance
